         --- PACKET LOG ---
CHANNEL: DatagramSocket1
INTERLEAVER DEPTH: 2
TIMESTAMP: 10-03-2026_23-23-23
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      1         2          OK          
1      1         1          OK          
2      1         0          OK          
3      1         1          OK          
4      1         0          OK          
5      1         1          OK          
6      1         0          OK          
7      1         0          OK          
8      1         1          OK          
9      1         1          OK          
10     1         0          OK          
11     1         0          OK          
12     1         1          OK          
13     1         1          OK          
14     1         0          OK          
15     1         0          OK          
16     1         1          OK          
17     1         1          OK          
18     1         0          OK          
19     1         0          OK          
20     1         0          OK          
21     1         1          OK          
22     1         0          OK          
23     1         0          OK          
24     1         1          OK          
25     1         0          OK          
26     1         0          OK          
27     1         0          OK          
28     1         0          OK          
29     1         1          OK          
30     1         0          OK          
31     1         0          OK          
32     1         1          OK          
33     1         0          OK          
34     1         0          OK          
35     1         0          OK          
36     1         0          OK          
37     1         0          OK          
38     1         0          OK          
39     1         0          OK          
40     1         0          OK          
41     1         1          OK          
42     1         0          OK          
43     1         0          OK          
44     1         0          OK          
45     1         1          OK          
46     1         0          OK          
47     1         0          OK          
48     1         0          OK          
49     1         1          OK          
50     1         0          OK          
51     1         0          OK          
52     1         0          OK          
53     1         1          OK          
54     1         2          OK          
55     1         1          OK          
56     1         1          OK          
57     1         1          OK          
58     1         0          OK          
59     1         1          OK          
60     1         1          OK          
61     1         0          OK          
62     1         0          OK          
63     1         1          OK          
64     1         0          OK          
65     1         0          OK          
66     1         0          OK          
67     1         0          OK          
68     1         0          OK          
69     1         0          OK          
70     1         0          OK          
71     1         0          OK          
72     1         0          OK          
73     1         1          OK          
74     1         0          OK          
75     1         0          OK          
76     1         2          OK          
77     1         2          OK          
78     1         0          OK          
79     1         0          OK          
80     1         1          OK          
81     1         1          OK          
82     1         0          OK          
83     1         0          OK          
84     1         0          OK          
85     1         1          OK          
86     1         2          OK          
87     1         1          OK          
88     1         0          OK          
89     1         0          OK          
90     1         1          OK          
91     1         1          OK          
92     1         0          OK          
93     1         0          OK          
94     1         1          OK          
95     1         2          OK          
96     1         0          OK          
97     1         0          OK          
98     1         1          OK          
99     1         1          OK          
100    1         0          OK          
101    1         0          OK          
102    1         1          OK          
103    1         0          OK          
104    1         0          OK          
105    1         0          OK          
106    1         2          OK          
107    1         2          OK          
108    1         0          OK          
109    1         0          OK          
110    1         1          OK          
111    1         0          OK          
112    1         0          OK          
113    1         0          OK          
114    1         1          OK          
115    1         1          OK          
116    1         0          OK          
117    1         0          OK          
118    1         1          OK          
119    1         2          OK          
120    1         0          OK          
121    1         0          OK          
122    1         0          OK          
123    1         0          OK          
124    1         0          OK          
125    1         0          OK          
126    1         0          OK          
127    1         0          OK          
128    1         0          OK          
129    1         0          OK          
130    1         0          OK          
131    1         0          OK          
132    1         0          OK          
133    1         0          OK          
134    1         0          OK          
135    1         0          OK          
136    1         0          OK          
137    1         0          OK          
138    1         0          OK          
139    1         0          OK          
140    1         0          OK          
141    1         0          OK          
142    1         0          OK          
143    1         0          OK          
144    1         0          OK          
145    1         0          OK          
146    1         0          OK          
147    1         0          OK          
148    1         0          OK          
149    1         0          OK          
150    1         0          OK          
151    1         0          OK          
152    1         0          OK          
153    1         0          OK          
154    1         0          OK          
155    1         0          OK          
156    1         0          OK          
157    1         0          OK          
158    1         0          OK          
159    1         0          OK          
160    1         0          OK          
161    1         0          OK          
162    1         0          OK          
163    1         0          OK          
164    1         0          OK          
165    1         0          OK          
166    1         0          OK          
167    1         0          OK          
168    1         0          OK          
169    1         0          OK          
170    1         0          OK          
171    1         0          OK          
172    1         0          OK          
173    1         0          OK          
174    1         0          OK          
175    1         0          OK          
176    1         0          OK          
177    1         0          OK          
178    1         0          OK          
179    1         0          OK          
180    1         0          OK          
181    1         0          OK          
182    1         0          OK          
183    1         0          OK          
184    1         0          OK          
185    1         0          OK          
186    1         0          OK          
187    1         0          OK          
188    1         0          OK          
189    1         0          OK          
190    1         0          OK          
191    1         0          OK          
192    1         0          OK          
193    1         0          OK          
194    1         0          OK          
195    1         0          OK          
196    1         0          OK          
197    1         0          OK          
198    1         0          OK          
199    1         0          OK          
200    1         0          OK          
201    1         0          OK          
202    1         0          OK          
203    1         0          OK          
204    1         0          OK          
205    1         0          OK          
206    1         0          OK          
207    1         1          OK          
208    1         0          OK          
209    1         0          OK          
210    1         0          OK          
211    1         0          OK          
212    1         0          OK          
213    1         0          OK          
214    1         0          OK          
215    1         0          OK          
216    1         0          OK          
217    1         1          OK          
218    1         0          OK          
219    1         0          OK          
220    1         0          OK          
221    1         0          OK          
222    1         0          OK          
223    1         0          OK          
224    1         0          OK          
225    1         0          OK          
226    1         0          OK          
227    1         0          OK          
228    1         0          OK          
229    1         0          OK          
230    1         0          OK          
231    1         0          OK          
232    1         0          OK          
233    1         0          OK          
234    1         0          OK          
235    1         0          OK          
236    1         0          OK          
237    1         0          OK          
238    1         0          OK          
239    1         0          OK          
240    1         0          OK          
241    1         0          OK          
242    1         0          OK          
243    1         0          OK          
244    1         0          OK          
245    1         0          OK          
246    1         0          OK          
247    1         0          OK          
248    1         0          OK          
249    1         0          OK          
250    1         0          OK          
251    1         0          OK          
252    1         0          OK          
253    1         1          OK          
254    1         0          OK          
255    1         0          OK          
256    1         0          OK          
257    1         0          OK          
258    1         0          OK          
259    1         0          OK          
260    1         0          OK          
261    1         0          OK          
262    1         0          OK          
263    1         0          OK          
264    1         0          OK          
265    1         1          OK          
266    1         0          OK          
267    1         0          OK          
268    1         0          OK          
269    1         0          OK          
270    1         0          OK          
271    1         0          OK          
272    1         0          OK          
273    1         0          OK          
274    1         0          OK          
275    1         0          OK          
276    1         0          OK          
277    1         0          OK          
278    1         0          OK          
279    1         0          OK          
