         --- PACKET LOG ---
CHANNEL: DatagramSocket1
INTERLEAVER DEPTH: 2
TIMESTAMP: 10-03-2026_23-22-47
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      1         1          OK          
1      1         0          OK          
2      1         0          OK          
3      1         0          OK          
4      1         1          OK          
5      1         1          OK          
6      1         0          OK          
7      1         0          OK          
8      1         1          OK          
9      1         1          OK          
10     1         0          OK          
11     1         0          OK          
12     1         1          OK          
13     1         1          OK          
14     1         0          OK          
15     1         0          OK          
16     1         1          OK          
17     1         1          OK          
18     1         0          OK          
19     1         0          OK          
20     1         1          OK          
21     1         1          OK          
22     1         0          OK          
23     1         0          OK          
24     1         0          OK          
25     1         1          OK          
26     1         0          OK          
27     1         0          OK          
28     1         0          OK          
29     1         0          OK          
30     1         0          OK          
31     1         0          OK          
32     1         0          OK          
33     1         0          OK          
34     1         0          OK          
35     1         0          OK          
36     1         0          OK          
37     1         0          OK          
38     1         0          OK          
39     1         0          OK          
40     1         1          OK          
41     1         0          OK          
42     1         0          OK          
43     1         0          OK          
44     1         0          OK          
45     1         0          OK          
46     1         0          OK          
47     1         0          OK          
48     1         0          OK          
49     1         0          OK          
50     1         0          OK          
51     1         0          OK          
52     1         0          OK          
53     1         1          OK          
54     1         0          OK          
55     1         0          OK          
56     1         1          OK          
57     1         1          OK          
58     1         0          OK          
59     1         0          OK          
60     1         1          OK          
61     1         1          OK          
62     1         0          OK          
63     1         0          OK          
64     1         0          OK          
65     1         1          OK          
66     1         0          OK          
67     1         0          OK          
68     1         0          OK          
69     1         1          OK          
70     1         0          OK          
71     1         0          OK          
72     1         0          OK          
73     1         1          OK          
74     1         0          OK          
75     1         0          OK          
76     1         1          OK          
77     1         1          OK          
78     1         0          OK          
79     1         0          OK          
80     1         1          OK          
81     1         1          OK          
82     1         0          OK          
83     1         0          OK          
84     1         0          OK          
85     1         0          OK          
86     1         1          OK          
87     1         1          OK          
88     1         0          OK          
89     1         0          OK          
90     1         1          OK          
91     1         1          OK          
92     1         0          OK          
93     1         0          OK          
94     1         1          OK          
95     1         1          OK          
96     1         0          OK          
97     1         0          OK          
98     1         0          OK          
99     1         1          OK          
100    1         0          OK          
101    1         0          OK          
102    1         0          OK          
103    1         0          OK          
104    1         0          OK          
105    1         0          OK          
106    1         0          OK          
107    1         0          OK          
108    1         0          OK          
109    1         0          OK          
110    1         1          OK          
111    1         1          OK          
112    1         0          OK          
113    1         0          OK          
114    1         1          OK          
115    1         1          OK          
116    1         0          OK          
117    1         0          OK          
118    1         1          OK          
119    1         1          OK          
120    1         0          OK          
121    1         0          OK          
122    1         1          OK          
123    1         1          OK          
124    1         0          OK          
125    1         0          OK          
126    1         1          OK          
127    1         1          OK          
128    1         0          OK          
129    1         0          OK          
130    1         0          OK          
131    1         0          OK          
132    1         0          OK          
