Packet Log,Channle:,DatagramSocket2,TimeStamp:,01-03-2026_11-45-24
Seq,Received,Delay(ms),Status
0,0,0,TIMEOUT
1,0,0,TIMEOUT
2,0,0,TIMEOUT
0,1,0,OUT_OF_ORDER
3,0,0,TIMEOUT
4,0,0,TIMEOUT
5,0,0,TIMEOUT
6,0,0,TIMEOUT
7,0,0,TIMEOUT
3,1,0,OUT_OF_ORDER
5,1,0,OUT_OF_ORDER
8,0,0,TIMEOUT
9,0,0,TIMEOUT
10,0,0,TIMEOUT
11,0,0,TIMEOUT
12,0,0,TIMEOUT
13,0,0,TIMEOUT
6,1,0,OUT_OF_ORDER
7,1,0,OUT_OF_ORDER
8,1,0,OUT_OF_ORDER
9,1,0,OUT_OF_ORDER
14,0,0,TIMEOUT
15,0,0,TIMEOUT
16,0,0,TIMEOUT
17,0,0,TIMEOUT
18,0,0,TIMEOUT
10,1,0,OUT_OF_ORDER
11,1,0,OUT_OF_ORDER
12,1,4,OUT_OF_ORDER
13,1,3,OUT_OF_ORDER
14,1,2,OUT_OF_ORDER
15,1,2,OUT_OF_ORDER
16,1,2,OUT_OF_ORDER
17,1,2,OUT_OF_ORDER
18,1,3,OUT_OF_ORDER
19,1,3,OK
20,1,3,OK
21,1,128,OK
22,1,3,OK
23,1,3,OK
24,1,3,OK
25,1,3,OK
28,1,4,OUT_OF_ORDER
29,1,4,OK
30,0,0,TIMEOUT
31,0,0,TIMEOUT
32,0,0,TIMEOUT
30,1,66,OUT_OF_ORDER
31,1,66,OUT_OF_ORDER
32,1,66,OUT_OF_ORDER
33,1,66,OK
35,1,66,OUT_OF_ORDER
36,1,66,OK
37,1,66,OK
38,0,0,TIMEOUT
39,0,0,TIMEOUT
38,1,0,OUT_OF_ORDER
39,1,126,OUT_OF_ORDER
40,1,126,OK
41,1,126,OK
42,1,1,OK
43,1,126,OK
44,1,126,OK
45,1,1,OK
46,1,1,OK
47,1,126,OK
48,1,126,OK
49,1,126,OK
50,1,1,OK
51,1,127,OK
52,1,127,OK
53,1,1,OK
54,1,1,OK
55,1,126,OK
56,1,126,OK
57,1,125,OK
58,1,0,OK
59,1,126,OK
60,1,126,OK
61,1,0,OK
62,1,0,OK
63,1,126,OK
64,1,126,OK
65,1,126,OK
66,1,0,OK
67,1,125,OK
68,1,125,OK
73,1,0,OUT_OF_ORDER
74,1,0,OK
75,1,0,OK
76,1,0,OK
77,1,0,OK
78,1,0,OK
79,1,0,OK
80,1,1,OK
81,1,1,OK
82,0,0,TIMEOUT
82,1,23,OUT_OF_ORDER
83,1,23,OK
84,0,0,TIMEOUT
85,0,0,TIMEOUT
86,0,0,TIMEOUT
87,0,0,TIMEOUT
85,1,0,OUT_OF_ORDER
86,1,125,OUT_OF_ORDER
87,1,125,OUT_OF_ORDER
88,1,124,OK
89,0,0,TIMEOUT
90,0,0,TIMEOUT
94,1,40,OUT_OF_ORDER
95,1,40,OK
96,1,40,OK
97,0,0,TIMEOUT
98,0,0,TIMEOUT
99,0,0,TIMEOUT
97,1,103,OUT_OF_ORDER
98,1,103,OUT_OF_ORDER
99,1,103,OUT_OF_ORDER
100,1,103,OK
101,1,103,OK
102,1,103,OK
103,1,103,OK
104,0,0,TIMEOUT
106,1,0,OUT_OF_ORDER
107,1,126,OK
108,1,126,OK
109,1,0,OK
110,1,1,OK
111,1,126,OK
112,1,125,OK
113,1,0,OK
114,1,0,OK
115,1,125,OK
116,1,124,OK
117,1,0,OK
118,1,0,OK
119,1,126,OK
120,1,126,OK
121,1,0,OK
122,1,1,OK
123,1,127,OK
124,0,0,TIMEOUT
125,0,0,TIMEOUT
126,0,0,TIMEOUT
127,0,0,TIMEOUT
128,0,0,TIMEOUT
129,0,0,TIMEOUT
130,0,0,TIMEOUT
133,1,24,OUT_OF_ORDER
134,1,24,OK
135,1,24,OK
136,0,0,TIMEOUT
137,0,0,TIMEOUT
138,0,0,TIMEOUT
136,1,88,OUT_OF_ORDER
137,1,88,OUT_OF_ORDER
138,1,88,OUT_OF_ORDER
139,1,88,OK
140,1,88,OK
141,1,88,OK
142,1,88,OK
143,1,88,OK
144,1,86,OK
145,1,86,OK
146,1,86,OK
147,1,86,OK
148,1,85,OK
149,1,85,OK
150,1,85,OK
151,1,85,OK
152,1,85,OK
153,1,85,OK
154,1,85,OK
155,1,85,OK
156,1,83,OK
157,1,83,OK
158,1,83,OK
159,0,0,TIMEOUT
161,1,103,OUT_OF_ORDER
162,1,103,OK
163,1,103,OK
164,0,0,TIMEOUT
164,1,0,OUT_OF_ORDER
165,1,126,OK
166,1,126,OK
167,1,1,OK
168,1,1,OK
169,1,126,OK
170,0,0,TIMEOUT
171,0,0,TIMEOUT
172,0,0,TIMEOUT
173,0,0,TIMEOUT
174,0,0,TIMEOUT
175,0,0,TIMEOUT
175,1,0,OUT_OF_ORDER
176,1,126,OK
177,1,126,OK
178,1,126,OK
179,1,127,OK
180,1,127,OK
181,1,127,OK
182,1,128,OK
183,1,1,OK
188,1,0,OUT_OF_ORDER
189,1,0,OK
190,1,1,OK
191,1,0,OK
192,1,0,OK
193,1,0,OK
194,1,0,OK
195,1,0,OK
196,1,0,OK
197,1,0,OK
198,1,1,OK
199,0,0,TIMEOUT
200,0,0,TIMEOUT
201,0,0,TIMEOUT
202,0,0,TIMEOUT
203,0,0,TIMEOUT
207,1,0,OUT_OF_ORDER
208,0,0,TIMEOUT
209,0,0,TIMEOUT
210,0,0,TIMEOUT
211,0,0,TIMEOUT
212,0,0,TIMEOUT
213,0,0,TIMEOUT
