         --- PACKET LOG ---
CHANNEL: DatagramSocket1
INTERLEAVER DEPTH: 2
TIMESTAMP: 10-03-2026_23-40-59
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      1         2          OK          
1      1         0          OK          
2      1         0          OK          
3      1         0          OK          
4      1         1          OK          
5      1         1          OK          
6      1         0          OK          
7      1         0          OK          
8      1         0          OK          
9      1         1          OK          
10     1         0          OK          
11     1         0          OK          
12     1         0          OK          
13     1         1          OK          
14     1         0          OK          
15     1         0          OK          
16     1         1          OK          
17     1         1          OK          
18     1         0          OK          
19     1         0          OK          
20     1         0          OK          
21     1         0          OK          
22     1         0          OK          
23     1         1          OK          
24     1         1          OK          
25     1         1          OK          
26     1         0          OK          
27     1         0          OK          
28     1         0          OK          
29     1         1          OK          
30     1         0          OK          
31     1         0          OK          
32     1         0          OK          
33     1         1          OK          
34     1         0          OK          
35     1         0          OK          
36     1         0          OK          
37     1         0          OK          
38     1         0          OK          
39     1         0          OK          
40     1         0          OK          
41     1         1          OK          
42     1         0          OK          
43     1         0          OK          
44     1         1          OK          
45     1         1          OK          
46     1         0          OK          
47     1         0          OK          
48     1         1          OK          
49     1         1          OK          
50     1         0          OK          
51     1         0          OK          
52     1         0          OK          
53     1         0          OK          
54     1         0          OK          
55     1         1          OK          
56     1         0          OK          
57     1         0          OK          
58     1         0          OK          
59     1         0          OK          
60     1         1          OK          
61     1         0          OK          
62     1         0          OK          
63     1         0          OK          
64     1         1          OK          
65     1         1          OK          
66     1         0          OK          
67     1         0          OK          
68     1         1          OK          
69     1         1          OK          
70     1         0          OK          
71     1         0          OK          
72     1         0          OK          
73     1         2          OK          
74     1         0          OK          
75     1         0          OK          
76     1         0          OK          
77     1         0          OK          
78     1         0          OK          
79     1         0          OK          
80     1         1          OK          
81     1         1          OK          
82     1         0          OK          
83     1         0          OK          
84     1         0          OK          
85     1         0          OK          
86     1         1          OK          
87     1         1          OK          
88     1         0          OK          
89     1         0          OK          
90     1         1          OK          
91     1         1          OK          
92     1         0          OK          
93     1         0          OK          
94     1         0          OK          
95     1         0          OK          
96     1         0          OK          
97     1         0          OK          
98     1         1          OK          
99     1         1          OK          
100    1         0          OK          
101    1         0          OK          
102    1         0          OK          
103    1         0          OK          
104    1         0          OK          
105    1         0          OK          
106    1         0          OK          
107    1         0          OK          
108    1         0          OK          
109    1         0          OK          
110    1         0          OK          
111    1         0          OK          
112    1         0          OK          
113    1         0          OK          
114    1         0          OK          
115    1         0          OK          
116    1         0          OK          
117    1         0          OK          
118    1         0          OK          
119    1         1          OK          
120    1         1          OK          
121    1         2          OK          
122    1         0          OK          
123    1         1          OK          
124    1         0          OK          
125    1         0          OK          
126    1         0          OK          
127    1         0          OK          
128    1         0          OK          
129    1         0          OK          
130    1         0          OK          
131    1         1          OK          
132    1         0          OK          
133    1         0          OK          
134    1         0          OK          
135    1         0          OK          
136    1         0          OK          
137    1         0          OK          
138    1         0          OK          
139    1         0          OK          
140    1         0          OK          
141    1         0          OK          
142    1         2          OK          
143    1         2          OK          
144    1         0          OK          
145    1         0          OK          
146    1         0          OK          
147    1         0          OK          
148    1         0          OK          
149    1         0          OK          
150    1         1          OK          
151    1         1          OK          
152    1         0          OK          
153    1         0          OK          
154    1         0          OK          
155    1         0          OK          
156    1         0          OK          
157    1         0          OK          
158    1         0          OK          
159    1         0          OK          
160    1         0          OK          
161    1         1          OK          
162    1         0          OK          
163    1         0          OK          
164    1         0          OK          
165    1         0          OK          
166    1         0          OK          
167    1         0          OK          
168    1         0          OK          
169    1         0          OK          
170    1         0          OK          
171    1         0          OK          
172    1         0          OK          
173    1         0          OK          
174    1         0          OK          
175    1         0          OK          
176    1         0          OK          
177    1         0          OK          
178    1         0          OK          
179    1         0          OK          
180    1         0          OK          
181    1         0          OK          
182    1         0          OK          
183    1         1          OK          
184    1         0          OK          
185    1         0          OK          
186    1         0          OK          
187    1         0          OK          
188    1         0          OK          
189    1         0          OK          
190    1         0          OK          
191    1         0          OK          
192    1         0          OK          
193    1         0          OK          
194    1         1          OK          
195    1         1          OK          
196    1         0          OK          
197    1         0          OK          
198    1         0          OK          
199    1         0          OK          
200    1         0          OK          
201    1         0          OK          
202    1         0          OK          
203    1         0          OK          
204    1         0          OK          
205    1         0          OK          
206    1         1          OK          
207    1         1          OK          
208    1         0          OK          
209    1         0          OK          
210    1         0          OK          
211    1         0          OK          
212    1         0          OK          
213    1         1          OK          
214    1         0          OK          
215    1         0          OK          
216    1         0          OK          
217    1         0          OK          
218    1         0          OK          
219    1         0          OK          
220    1         1          OK          
221    1         1          OK          
222    1         0          OK          
223    1         0          OK          
224    1         1          OK          
225    1         1          OK          
226    1         0          OK          
227    1         0          OK          
228    1         0          OK          
229    1         0          OK          
230    1         0          OK          
231    1         0          OK          
232    1         0          OK          
233    1         0          OK          
234    1         0          OK          
235    1         0          OK          
236    1         0          OK          
237    1         0          OK          
238    1         0          OK          
239    1         0          OK          
240    1         0          OK          
241    1         0          OK          
242    1         0          OK          
243    1         1          OK          
244    1         0          OK          
245    1         0          OK          
246    1         0          OK          
247    1         0          OK          
248    1         0          OK          
249    1         0          OK          
250    1         0          OK          
251    1         0          OK          
252    1         0          OK          
253    1         0          OK          
254    1         0          OK          
255    1         0          OK          
256    1         0          OK          
257    1         0          OK          
258    1         0          OK          
259    1         0          OK          
260    1         0          OK          
261    1         0          OK          
262    1         0          OK          
263    1         0          OK          
264    1         0          OK          
265    1         0          OK          
266    1         0          OK          
267    1         0          OK          
268    1         0          OK          
269    1         0          OK          
270    1         0          OK          
271    1         0          OK          
272    1         0          OK          
273    1         0          OK          
274    1         0          OK          
275    1         0          OK          
276    1         0          OK          
277    1         0          OK          
278    1         0          OK          
279    1         0          OK          
280    1         0          OK          
281    1         0          OK          
282    1         0          OK          
283    1         0          OK          
284    1         0          OK          
285    1         0          OK          
286    1         0          OK          
287    1         0          OK          
288    1         1          OK          
289    1         1          OK          
290    1         0          OK          
291    1         0          OK          
292    1         0          OK          
293    1         0          OK          
294    1         0          OK          
295    1         0          OK          
296    1         0          OK          
297    1         0          OK          
298    1         0          OK          
299    1         0          OK          
300    1         0          OK          
301    1         0          OK          
302    1         0          OK          
303    1         0          OK          
304    1         0          OK          
305    1         0          OK          
306    1         0          OK          
307    1         0          OK          
308    1         0          OK          
309    1         0          OK          
310    1         0          OK          
311    1         0          OK          
312    1         0          OK          
313    1         0          OK          
314    1         0          OK          
315    1         0          OK          
316    1         0          OK          
317    1         0          OK          
318    1         0          OK          
319    1         0          OK          
320    1         0          OK          
321    1         0          OK          
322    1         0          OK          
323    1         0          OK          
324    1         0          OK          
325    1         0          OK          
326    1         0          OK          
327    1         0          OK          
328    1         0          OK          
329    1         0          OK          
330    1         1          OK          
331    1         0          OK          
332    1         0          OK          
333    1         0          OK          
334    1         0          OK          
335    1         0          OK          
336    1         0          OK          
337    1         0          OK          
338    1         0          OK          
339    1         0          OK          
340    1         0          OK          
341    1         0          OK          
342    1         1          OK          
343    1         0          OK          
344    1         0          OK          
345    1         2          OK          
346    1         2          OK          
347    1         2          OK          
348    1         0          OK          
349    1         0          OK          
350    1         0          OK          
351    1         0          OK          
352    1         0          OK          
353    1         0          OK          
354    1         0          OK          
355    1         0          OK          
356    1         0          OK          
357    1         0          OK          
358    1         0          OK          
359    1         0          OK          
360    1         0          OK          
361    1         0          OK          
362    1         0          OK          
363    1         0          OK          
364    1         0          OK          
365    1         0          OK          
366    1         0          OK          
367    1         0          OK          
368    1         0          OK          
369    1         0          OK          
370    1         0          OK          
371    1         0          OK          
372    1         0          OK          
373    1         0          OK          
374    1         0          OK          
375    1         0          OK          
376    1         0          OK          
377    1         0          OK          
378    1         0          OK          
379    1         0          OK          
380    1         0          OK          
381    1         0          OK          
382    1         0          OK          
383    1         0          OK          
384    1         0          OK          
385    1         0          OK          
386    1         0          OK          
387    1         0          OK          
388    1         0          OK          
389    1         0          OK          
390    1         0          OK          
391    1         0          OK          
392    1         0          OK          
393    1         0          OK          
394    1         0          OK          
395    1         0          OK          
396    1         0          OK          
397    1         0          OK          
398    1         0          OK          
399    1         0          OK          
400    1         0          OK          
401    1         0          OK          
402    1         0          OK          
403    1         0          OK          
404    1         0          OK          
405    1         0          OK          
406    1         0          OK          
407    1         0          OK          
408    1         0          OK          
409    1         0          OK          
410    1         0          OK          
411    1         0          OK          
412    1         0          OK          
413    1         0          OK          
414    1         0          OK          
415    1         0          OK          
416    1         0          OK          
417    1         0          OK          
418    1         0          OK          
419    1         0          OK          
420    1         0          OK          
421    1         1          OK          
422    1         0          OK          
423    1         0          OK          
424    1         0          OK          
425    1         1          OK          
426    1         0          OK          
427    1         0          OK          
428    1         0          OK          
429    1         0          OK          
430    1         0          OK          
431    1         1          OK          
432    1         0          OK          
433    1         0          OK          
434    1         0          OK          
435    1         0          OK          
436    1         0          OK          
437    1         0          OK          
438    1         0          OK          
439    1         0          OK          
440    1         0          OK          
441    1         0          OK          
442    1         0          OK          
443    1         1          OK          
444    1         0          OK          
445    1         0          OK          
446    1         1          OK          
447    1         1          OK          
448    1         0          OK          
449    1         0          OK          
450    1         1          OK          
451    1         1          OK          
452    1         0          OK          
453    1         0          OK          
454    1         0          OK          
455    1         0          OK          
456    1         0          OK          
457    1         0          OK          
458    1         0          OK          
459    1         0          OK          
460    1         0          OK          
461    1         0          OK          
462    1         0          OK          
463    1         0          OK          
464    1         0          OK          
465    1         0          OK          
466    1         0          OK          
467    1         0          OK          
468    1         0          OK          
469    1         0          OK          
470    1         0          OK          
471    1         0          OK          
472    1         0          OK          
473    1         0          OK          
474    1         0          OK          
475    1         0          OK          
476    1         0          OK          
477    1         0          OK          
478    1         0          OK          
479    1         0          OK          
480    1         0          OK          
481    1         0          OK          
482    1         0          OK          
483    1         0          OK          
484    1         0          OK          
485    1         0          OK          
486    1         0          OK          
487    1         0          OK          
488    1         0          OK          
489    1         0          OK          
490    1         0          OK          
491    1         0          OK          
492    1         0          OK          
493    1         0          OK          
494    1         0          OK          
495    1         0          OK          
496    1         0          OK          
497    1         0          OK          
498    1         0          OK          
499    1         0          OK          
500    1         0          OK          
501    1         0          OK          
502    1         0          OK          
503    1         0          OK          
504    1         0          OK          
505    1         0          OK          
506    1         0          OK          
507    1         0          OK          
508    1         0          OK          
509    1         0          OK          
510    1         0          OK          
511    1         0          OK          
512    1         0          OK          
513    1         0          OK          
514    1         0          OK          
515    1         0          OK          
516    1         0          OK          
517    1         1          OK          
518    1         0          OK          
519    1         0          OK          
520    1         0          OK          
521    1         0          OK          
522    1         0          OK          
523    1         0          OK          
524    1         1          OK          
525    1         0          OK          
526    1         0          OK          
527    1         0          OK          
528    1         0          OK          
529    1         0          OK          
530    1         0          OK          
531    1         0          OK          
532    1         0          OK          
533    1         0          OK          
534    1         0          OK          
535    1         0          OK          
536    1         0          OK          
537    1         0          OK          
538    1         0          OK          
539    1         0          OK          
540    1         0          OK          
541    1         0          OK          
542    1         0          OK          
543    1         0          OK          
544    1         0          OK          
545    1         0          OK          
546    1         0          OK          
547    1         0          OK          
548    1         0          OK          
549    1         0          OK          
550    1         0          OK          
551    1         0          OK          
552    1         0          OK          
553    1         0          OK          
554    1         0          OK          
555    1         0          OK          
556    1         0          OK          
557    1         0          OK          
558    1         0          OK          
559    1         0          OK          
560    1         0          OK          
561    1         0          OK          
562    1         0          OK          
563    1         0          OK          
564    1         1          OK          
565    1         1          OK          
566    1         0          OK          
567    1         0          OK          
568    1         0          OK          
569    1         0          OK          
570    1         0          OK          
571    1         0          OK          
572    1         0          OK          
573    1         0          OK          
574    1         0          OK          
575    1         0          OK          
576    1         0          OK          
577    1         0          OK          
578    1         0          OK          
579    1         0          OK          
580    1         0          OK          
581    1         0          OK          
582    1         0          OK          
583    1         0          OK          
584    1         0          OK          
585    1         0          OK          
586    1         1          OK          
587    1         1          OK          
588    1         0          OK          
589    1         0          OK          
590    1         0          OK          
591    1         0          OK          
592    1         0          OK          
593    1         0          OK          
594    1         0          OK          
595    1         0          OK          
596    1         0          OK          
597    1         0          OK          
598    1         0          OK          
599    1         0          OK          
600    1         0          OK          
601    1         0          OK          
602    1         0          OK          
603    1         0          OK          
604    1         0          OK          
605    1         0          OK          
606    1         0          OK          
607    1         0          OK          
608    1         0          OK          
609    1         0          OK          
610    1         0          OK          
611    1         0          OK          
612    1         0          OK          
613    1         0          OK          
614    1         1          OK          
615    1         1          OK          
616    1         0          OK          
617    1         0          OK          
618    1         0          OK          
619    1         0          OK          
620    1         0          OK          
621    1         0          OK          
622    1         0          OK          
623    1         0          OK          
624    1         0          OK          
625    1         0          OK          
626    1         0          OK          
627    1         0          OK          
628    1         0          OK          
629    1         0          OK          
630    1         0          OK          
631    1         0          OK          
632    1         0          OK          
633    1         0          OK          
634    1         0          OK          
635    1         0          OK          
636    1         0          OK          
637    1         0          OK          
638    1         0          OK          
639    1         0          OK          
640    1         0          OK          
641    1         0          OK          
642    1         0          OK          
643    1         0          OK          
644    1         0          OK          
645    1         0          OK          
646    1         1          OK          
647    1         1          OK          
648    1         0          OK          
649    1         0          OK          
650    1         1          OK          
651    1         1          OK          
652    1         0          OK          
653    1         1          OK          
654    1         1          OK          
655    1         2          OK          
656    1         0          OK          
657    1         0          OK          
658    1         0          OK          
659    1         0          OK          
660    1         0          OK          
661    1         0          OK          
662    1         0          OK          
663    1         0          OK          
664    1         0          OK          
665    1         0          OK          
666    1         0          OK          
667    1         0          OK          
668    1         0          OK          
669    1         0          OK          
670    1         0          OK          
671    1         0          OK          
672    1         0          OK          
673    1         0          OK          
674    1         0          OK          
675    1         0          OK          
676    1         0          OK          
677    1         0          OK          
678    1         0          OK          
679    1         0          OK          
680    1         0          OK          
681    1         0          OK          
682    1         0          OK          
683    1         0          OK          
684    1         0          OK          
685    1         0          OK          
686    1         0          OK          
687    1         0          OK          
688    1         0          OK          
689    1         0          OK          
690    1         0          OK          
691    1         0          OK          
692    1         0          OK          
693    1         0          OK          
694    1         1          OK          
695    1         0          OK          
696    1         0          OK          
697    1         0          OK          
698    1         1          OK          
699    1         1          OK          
700    1         0          OK          
701    1         0          OK          
702    1         0          OK          
703    1         0          OK          
704    1         0          OK          
705    1         0          OK          
706    1         0          OK          
707    1         0          OK          
708    1         0          OK          
709    1         0          OK          
710    1         0          OK          
711    1         0          OK          
712    1         0          OK          
713    1         0          OK          
714    1         0          OK          
715    1         0          OK          
716    1         0          OK          
717    1         0          OK          
718    1         0          OK          
719    1         0          OK          
720    1         0          OK          
721    1         0          OK          
722    1         0          OK          
723    1         0          OK          
724    1         0          OK          
725    1         0          OK          
726    1         0          OK          
727    1         0          OK          
728    1         0          OK          
729    1         2          OK          
730    1         0          OK          
731    1         0          OK          
732    1         1          OK          
733    1         0          OK          
734    1         0          OK          
735    1         0          OK          
736    1         0          OK          
737    1         0          OK          
738    1         0          OK          
739    1         0          OK          
740    1         0          OK          
741    1         0          OK          
742    1         0          OK          
743    1         0          OK          
744    1         0          OK          
745    1         0          OK          
746    1         0          OK          
747    1         0          OK          
748    1         0          OK          
749    1         0          OK          
750    1         0          OK          
751    1         0          OK          
752    1         0          OK          
753    1         0          OK          
754    1         0          OK          
755    1         0          OK          
756    1         1          OK          
757    1         1          OK          
758    1         0          OK          
759    1         0          OK          
760    1         1          OK          
761    1         0          OK          
762    1         0          OK          
763    1         0          OK          
764    1         1          OK          
765    1         1          OK          
766    1         0          OK          
767    1         0          OK          
768    1         0          OK          
769    1         0          OK          
770    1         0          OK          
771    1         0          OK          
772    1         0          OK          
773    1         0          OK          
774    1         0          OK          
775    1         0          OK          
776    1         0          OK          
777    1         0          OK          
778    1         0          OK          
