Packet Log,Channle:,DatagramSocket3,TimeStamp:,25-02-2026_14-27-11
Seq,Received,Delay(ms),Status
193,1,70,OK
194,1,70,OK
195,1,70,OK
190,1,197,OUT_OF_ORDER
196,0,0,TIMEOUT
197,0,0,TIMEOUT
198,1,0,OK
199,1,125,OK
200,1,125,OK
196,1,251,OUT_OF_ORDER
201,1,125,OK
202,1,126,OK
205,1,124,OUT_OF_ORDER
204,1,129,OUT_OF_ORDER
206,0,0,TIMEOUT
207,0,0,TIMEOUT
208,0,0,TIMEOUT
209,1,75,OK
210,1,75,OK
207,1,200,OUT_OF_ORDER
212,1,75,OUT_OF_ORDER
211,1,200,OUT_OF_ORDER
214,1,73,OUT_OF_ORDER
213,1,198,OUT_OF_ORDER
216,1,73,OUT_OF_ORDER
215,1,199,OUT_OF_ORDER
218,1,72,OUT_OF_ORDER
217,1,199,OUT_OF_ORDER
219,0,0,TIMEOUT
220,0,0,TIMEOUT
222,1,113,OUT_OF_ORDER
221,1,240,OUT_OF_ORDER
223,1,113,OK
225,1,113,OUT_OF_ORDER
226,1,111,OK
224,1,238,OUT_OF_ORDER
227,1,111,OK
230,1,0,OUT_OF_ORDER
231,1,0,OK
232,1,126,OK
229,1,252,OUT_OF_ORDER
234,1,0,OUT_OF_ORDER
233,1,125,OUT_OF_ORDER
236,1,125,OUT_OF_ORDER
235,1,125,OUT_OF_ORDER
237,1,125,OK
241,1,0,OUT_OF_ORDER
239,1,125,OUT_OF_ORDER
243,1,0,OUT_OF_ORDER
242,1,1,OUT_OF_ORDER
245,1,125,OUT_OF_ORDER
246,1,0,OK
244,1,126,OUT_OF_ORDER
248,1,0,OUT_OF_ORDER
247,1,0,OUT_OF_ORDER
249,1,126,OK
250,0,0,TIMEOUT
251,0,0,TIMEOUT
252,0,0,TIMEOUT
253,0,0,TIMEOUT
254,0,0,TIMEOUT
252,1,125,OUT_OF_ORDER
