         --- PACKET LOG ---
CHANNEL: DatagramSocket2
INTERLEAVER DEPTH: 2
TIMESTAMP: 11-03-2026_09-33-15
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      1         0          OK          
3      1         0          OUT_OF_ORDER
5      1         17         OUT_OF_ORDER
6      1         0          OK          
7      1         0          OK          
8      1         0          OK          
9      1         1          OK          
10     1         0          OK          
11     1         0          OK          
12     1         1          OK          
13     1         1          OK          
14     1         0          OK          
15     1         0          OK          
16     1         0          OK          
17     1         1          OK          
18     1         0          OK          
19     1         0          OK          
20     1         1          OK          
21     1         1          OK          
22     1         0          OK          
23     1         0          OK          
24     1         0          OK          
25     1         0          OK          
28     1         0          OUT_OF_ORDER
29     1         0          OK          
30     1         1          OK          
31     1         0          OK          
32     1         1          OK          
33     1         0          OK          
35     1         0          OUT_OF_ORDER
36     1         0          OK          
37     1         2          OK          
38     1         0          OK          
39     1         0          OK          
40     1         1          OK          
41     1         1          OK          
42     1         0          OK          
43     1         0          OK          
44     1         0          OK          
45     1         0          OK          
46     1         0          OK          
47     1         0          OK          
48     1         0          OK          
49     1         0          OK          
50     1         0          OK          
51     1         0          OK          
52     1         0          OK          
53     1         0          OK          
54     1         0          OK          
55     1         0          OK          
56     1         0          OK          
57     1         1          OK          
58     1         0          OK          
59     1         1          OK          
60     1         1          OK          
61     1         2          OK          
62     1         0          OK          
63     1         0          OK          
64     1         0          OK          
65     1         0          OK          
66     1         0          OK          
67     1         0          OK          
68     1         1          OK          
73     1         0          OUT_OF_ORDER
74     1         0          OK          
75     1         1          OK          
76     1         1          OK          
77     1         1          OK          
78     1         0          OK          
79     1         0          OK          
80     1         2          OK          
81     1         2          OK          
82     1         0          OK          
83     1         0          OK          
85     1         0          OUT_OF_ORDER
86     1         0          OK          
87     1         1          OK          
88     1         0          OK          
94     1         0          OUT_OF_ORDER
95     1         1          OK          
96     1         0          OK          
97     1         0          OK          
98     1         0          OK          
99     1         1          OK          
100    1         0          OK          
101    1         0          OK          
102    1         0          OK          
103    1         0          OK          
106    1         0          OUT_OF_ORDER
107    1         1          OK          
108    1         0          OK          
109    1         0          OK          
110    1         0          OK          
111    1         0          OK          
112    1         0          OK          
113    1         0          OK          
114    1         0          OK          
115    1         0          OK          
116    1         0          OK          
117    1         0          OK          
118    1         1          OK          
119    1         1          OK          
120    1         0          OK          
121    1         0          OK          
122    1         0          OK          
123    1         0          OK          
124    0         0          TIMEOUT     
125    0         0          TIMEOUT     
133    1         0          OUT_OF_ORDER
134    1         1          OK          
135    1         0          OK          
136    1         0          OK          
137    1         0          OK          
138    1         0          OK          
139    1         1          OK          
140    1         0          OK          
141    1         1          OK          
142    1         0          OK          
143    1         0          OK          
144    1         0          OK          
145    1         0          OK          
146    1         0          OK          
147    1         1          OK          
148    1         0          OK          
149    1         0          OK          
150    1         0          OK          
151    1         1          OK          
152    1         0          OK          
153    1         0          OK          
154    1         1          OK          
