         --- PACKET LOG ---
CHANNEL: DatagramSocket3
INTERLEAVER DEPTH: 2
TIMESTAMP: 11-03-2026_09-33-40
-----------------------------------------
SEQ NO RECEIVED  DELAY(ms)  STATUS      
0      1         0          OK          
1      1         127        OK          
2      1         16         OK          
4      1         15         OUT_OF_ORDER
3      1         17         TOO_LATE_DISCARDED
5      1         141        OK          
7      1         0          OUT_OF_ORDER
6      1         0          OUT_OF_ORDER
9      1         0          OUT_OF_ORDER
8      1         125        OUT_OF_ORDER
10     1         1          OK          
12     1         1          OUT_OF_ORDER
11     1         1          TOO_LATE_DISCARDED
13     1         125        OK          
15     1         1          OUT_OF_ORDER
14     1         1          OUT_OF_ORDER
16     1         0          OK          
18     1         0          OUT_OF_ORDER
17     1         127        TOO_LATE_DISCARDED
20     1         0          OUT_OF_ORDER
19     1         1          TOO_LATE_DISCARDED
22     1         0          OUT_OF_ORDER
23     1         1          OK          
25     1         0          OUT_OF_ORDER
21     1         252        TOO_LATE_DISCARDED
27     1         0          OUT_OF_ORDER
28     1         0          OK          
26     1         1          TOO_LATE_DISCARDED
29     1         126        OK          
30     1         126        OK          
36     1         0          OUT_OF_ORDER
35     1         1          TOO_LATE_DISCARDED
37     1         125        OK          
39     1         1          OUT_OF_ORDER
38     1         1          OUT_OF_ORDER
40     1         1          OK          
42     1         0          OUT_OF_ORDER
44     1         0          OUT_OF_ORDER
45     1         0          OK          
46     1         0          OK          
41     1         253        TOO_LATE_DISCARDED
47     1         0          OK          
49     1         0          OUT_OF_ORDER
48     1         125        OUT_OF_ORDER
50     1         1          OK          
53     1         0          OUT_OF_ORDER
52     1         126        OUT_OF_ORDER
55     1         3          OUT_OF_ORDER
56     1         0          OK          
54     1         128        TOO_LATE_DISCARDED
59     1         0          OUT_OF_ORDER
60     1         0          OK          
58     1         127        TOO_LATE_DISCARDED
63     1         0          OUT_OF_ORDER
62     1         0          OUT_OF_ORDER
66     1         0          OUT_OF_ORDER
67     1         0          OK          
64     1         127        TOO_LATE_DISCARDED
70     1         0          OUT_OF_ORDER
68     1         128        TOO_LATE_DISCARDED
71     1         1          OK          
73     1         0          OUT_OF_ORDER
72     1         126        OUT_OF_ORDER
75     1         1          OUT_OF_ORDER
74     1         2          OUT_OF_ORDER
78     1         0          OUT_OF_ORDER
79     1         1          OK          
76     1         126        TOO_LATE_DISCARDED
81     1         0          OUT_OF_ORDER
80     1         127        OUT_OF_ORDER
82     1         1          OK          
85     1         0          OUT_OF_ORDER
86     1         0          OK          
87     1         1          OK          
84     1         126        TOO_LATE_DISCARDED
88     1         1          OK          
89     1         126        OK          
92     1         1          OUT_OF_ORDER
91     1         1          TOO_LATE_DISCARDED
93     1         125        OK          
95     1         1          OUT_OF_ORDER
96     1         0          OK          
97     1         0          OK          
94     1         127        TOO_LATE_DISCARDED
99     1         0          OUT_OF_ORDER
101    1         0          OUT_OF_ORDER
98     1         125        TOO_LATE_DISCARDED
102    1         0          OK          
105    1         1          OUT_OF_ORDER
104    1         128        OUT_OF_ORDER
107    1         2          OUT_OF_ORDER
106    1         2          OUT_OF_ORDER
109    1         1          OUT_OF_ORDER
108    1         126        OUT_OF_ORDER
112    1         0          OUT_OF_ORDER
114    1         0          OUT_OF_ORDER
110    1         126        TOO_LATE_DISCARDED
116    1         0          OUT_OF_ORDER
115    1         0          TOO_LATE_DISCARDED
118    1         0          OUT_OF_ORDER
119    1         1          OK          
117    1         126        TOO_LATE_DISCARDED
121    1         125        OUT_OF_ORDER
123    1         0          OUT_OF_ORDER
122    1         126        OUT_OF_ORDER
124    1         1          OK          
126    1         0          OUT_OF_ORDER
127    1         0          OK          
128    1         0          OK          
131    1         0          OUT_OF_ORDER
125    1         253        TOO_LATE_DISCARDED
133    1         0          OUT_OF_ORDER
132    1         1          OUT_OF_ORDER
135    1         0          OUT_OF_ORDER
134    1         126        OUT_OF_ORDER
136    1         1          OK          
137    1         1          OK          
138    1         126        OK          
141    1         0          OUT_OF_ORDER
140    1         0          OUT_OF_ORDER
143    1         1          OUT_OF_ORDER
142    1         127        OUT_OF_ORDER
144    1         0          OK          
146    1         0          OUT_OF_ORDER
145    1         0          TOO_LATE_DISCARDED
148    1         0          OUT_OF_ORDER
150    1         0          OUT_OF_ORDER
151    1         0          OK          
152    1         0          OK          
147    1         253        TOO_LATE_DISCARDED
153    1         1          OK          
155    1         1          OUT_OF_ORDER
154    1         1          OUT_OF_ORDER
157    1         1          OUT_OF_ORDER
159    1         0          OUT_OF_ORDER
160    1         0          OK          
156    1         252        TOO_LATE_DISCARDED
162    1         0          OUT_OF_ORDER
163    1         0          OK          
164    1         1          OK          
165    1         1          OK          
166    1         0          OK          
161    1         128        TOO_LATE_DISCARDED
168    1         0          OUT_OF_ORDER
169    1         1          OK          
170    1         1          OK          
167    1         128        TOO_LATE_DISCARDED
173    1         0          OUT_OF_ORDER
174    1         0          OK          
171    1         127        TOO_LATE_DISCARDED
176    1         0          OUT_OF_ORDER
175    1         128        TOO_LATE_DISCARDED
178    1         1          OUT_OF_ORDER
177    1         1          TOO_LATE_DISCARDED
180    1         0          OUT_OF_ORDER
182    1         1          OUT_OF_ORDER
179    1         126        TOO_LATE_DISCARDED
183    1         127        OK          
185    1         1          OUT_OF_ORDER
187    1         1          OUT_OF_ORDER
186    1         126        OUT_OF_ORDER
188    1         0          OK          
191    1         1          OUT_OF_ORDER
192    1         0          OK          
193    1         1          OK          
194    1         1          OK          
195    1         1          OK          
190    1         254        TOO_LATE_DISCARDED
198    1         0          OUT_OF_ORDER
199    1         1          OK          
200    1         0          OK          
196    1         126        TOO_LATE_DISCARDED
201    1         0          OK          
202    1         126        OK          
205    1         0          OUT_OF_ORDER
204    1         0          OUT_OF_ORDER
209    1         0          OUT_OF_ORDER
210    1         0          OK          
207    1         127        TOO_LATE_DISCARDED
212    1         0          OUT_OF_ORDER
211    1         127        TOO_LATE_DISCARDED
214    1         0          OUT_OF_ORDER
213    1         0          TOO_LATE_DISCARDED
216    1         0          OUT_OF_ORDER
215    1         126        TOO_LATE_DISCARDED
218    1         0          OUT_OF_ORDER
217    1         126        TOO_LATE_DISCARDED
222    1         0          OUT_OF_ORDER
221    1         1          TOO_LATE_DISCARDED
223    1         127        OK          
225    1         1          OUT_OF_ORDER
226    1         0          OK          
224    1         1          TOO_LATE_DISCARDED
227    1         126        OK          
230    1         0          OUT_OF_ORDER
231    1         0          OK          
232    1         0          OK          
229    1         126        TOO_LATE_DISCARDED
234    1         1          OUT_OF_ORDER
233    1         2          TOO_LATE_DISCARDED
236    1         0          OUT_OF_ORDER
235    1         127        TOO_LATE_DISCARDED
237    1         1          OK          
241    1         0          OUT_OF_ORDER
239    1         127        TOO_LATE_DISCARDED
243    1         0          OUT_OF_ORDER
242    1         126        OUT_OF_ORDER
245    1         0          OUT_OF_ORDER
246    1         0          OK          
244    1         0          TOO_LATE_DISCARDED
248    1         0          OUT_OF_ORDER
247    1         127        TOO_LATE_DISCARDED
249    1         127        OK          
252    1         0          OUT_OF_ORDER
255    1         1          OUT_OF_ORDER
256    1         0          OK          
254    1         126        TOO_LATE_DISCARDED
257    1         1          OK          
259    1         0          OUT_OF_ORDER
258    1         125        OUT_OF_ORDER
260    1         0          OK          
263    1         0          OUT_OF_ORDER
261    1         125        TOO_LATE_DISCARDED
264    1         0          OK          
266    1         0          OUT_OF_ORDER
265    1         0          TOO_LATE_DISCARDED
268    1         0          OUT_OF_ORDER
269    1         1          OK          
270    1         1          OK          
267    1         252        TOO_LATE_DISCARDED
272    1         0          OUT_OF_ORDER
275    1         0          OUT_OF_ORDER
274    1         126        OUT_OF_ORDER
276    1         0          OK          
278    1         0          OUT_OF_ORDER
277    1         1          TOO_LATE_DISCARDED
279    1         125        OK          
282    1         0          OUT_OF_ORDER
281    1         0          TOO_LATE_DISCARDED
283    1         125        OK          
285    1         1          OUT_OF_ORDER
284    1         1          OUT_OF_ORDER
