Packet Log,Channle:,DatagramSocket3,TimeStamp:,01-03-2026_11-44-15
Seq,Received,Delay(ms),Status
188,1,125,OUT_OF_ORDER
191,1,124,OUT_OF_ORDER
192,1,0,OK
193,1,0,OK
194,1,120,OK
195,1,120,OK
190,1,256,OUT_OF_ORDER
198,1,0,OUT_OF_ORDER
199,1,125,OK
200,1,0,OK
196,1,126,OUT_OF_ORDER
201,1,0,OK
202,1,126,OK
205,1,0,OUT_OF_ORDER
204,1,1,OUT_OF_ORDER
206,0,0,TIMEOUT
207,0,0,TIMEOUT
208,0,0,TIMEOUT
209,1,62,OK
210,1,62,OK
211,0,0,TIMEOUT
212,0,0,TIMEOUT
213,0,0,TIMEOUT
207,1,252,OUT_OF_ORDER
212,1,126,OUT_OF_ORDER
211,1,126,OUT_OF_ORDER
214,1,126,OK
213,1,127,OUT_OF_ORDER
216,1,125,OUT_OF_ORDER
215,1,125,OUT_OF_ORDER
218,1,125,OUT_OF_ORDER
217,1,126,OUT_OF_ORDER
222,1,126,OUT_OF_ORDER
221,1,126,OUT_OF_ORDER
223,1,1,OK
225,1,0,OUT_OF_ORDER
226,1,126,OK
224,1,127,OUT_OF_ORDER
227,1,126,OK
230,1,0,OUT_OF_ORDER
231,1,126,OK
232,1,0,OK
229,1,128,OUT_OF_ORDER
234,1,0,OUT_OF_ORDER
233,1,125,OUT_OF_ORDER
236,1,0,OUT_OF_ORDER
235,1,126,OUT_OF_ORDER
237,1,1,OK
241,1,0,OUT_OF_ORDER
239,1,126,OUT_OF_ORDER
243,1,1,OUT_OF_ORDER
244,0,0,TIMEOUT
245,0,0,TIMEOUT
242,1,167,OUT_OF_ORDER
245,1,41,OUT_OF_ORDER
246,1,41,OK
244,1,41,OUT_OF_ORDER
248,1,40,OUT_OF_ORDER
247,1,166,OUT_OF_ORDER
249,0,0,TIMEOUT
250,0,0,TIMEOUT
251,0,0,TIMEOUT
252,0,0,TIMEOUT
249,1,126,OUT_OF_ORDER
252,1,126,OUT_OF_ORDER
255,1,0,OUT_OF_ORDER
256,1,1,OK
254,1,127,OUT_OF_ORDER
257,1,126,OK
259,1,0,OUT_OF_ORDER
258,1,126,OUT_OF_ORDER
260,1,1,OK
263,1,0,OUT_OF_ORDER
261,1,127,OUT_OF_ORDER
264,1,0,OK
266,1,126,OUT_OF_ORDER
265,1,127,OUT_OF_ORDER
268,1,0,OUT_OF_ORDER
269,1,0,OK
270,1,0,OK
267,1,126,OUT_OF_ORDER
272,1,0,OUT_OF_ORDER
273,0,0,TIMEOUT
274,0,0,TIMEOUT
275,0,0,TIMEOUT
275,1,62,OUT_OF_ORDER
274,1,188,OUT_OF_ORDER
276,1,62,OK
278,1,62,OUT_OF_ORDER
279,0,0,TIMEOUT
277,1,208,OUT_OF_ORDER
279,1,83,OUT_OF_ORDER
282,1,83,OUT_OF_ORDER
283,0,0,TIMEOUT
284,0,0,TIMEOUT
281,1,250,OUT_OF_ORDER
283,1,125,OUT_OF_ORDER
285,1,125,OK
284,1,127,OUT_OF_ORDER
287,1,125,OUT_OF_ORDER
289,1,125,OUT_OF_ORDER
290,1,125,OK
288,1,126,OUT_OF_ORDER
293,1,126,OUT_OF_ORDER
292,1,127,OUT_OF_ORDER
295,1,1,OUT_OF_ORDER
294,1,1,OUT_OF_ORDER
298,1,125,OUT_OF_ORDER
299,1,0,OK
296,1,126,OUT_OF_ORDER
301,1,1,OUT_OF_ORDER
303,1,0,OUT_OF_ORDER
304,1,1,OK
300,1,128,OUT_OF_ORDER
305,1,0,OK
306,1,125,OK
308,1,0,OUT_OF_ORDER
307,1,1,OUT_OF_ORDER
309,0,0,TIMEOUT
310,0,0,TIMEOUT
309,1,168,OUT_OF_ORDER
311,1,41,OK
314,1,41,OUT_OF_ORDER
315,0,0,TIMEOUT
316,0,0,TIMEOUT
313,1,210,OUT_OF_ORDER
316,1,84,OUT_OF_ORDER
315,1,84,OUT_OF_ORDER
317,0,0,TIMEOUT
318,0,0,TIMEOUT
321,1,0,OUT_OF_ORDER
317,1,252,OUT_OF_ORDER
323,1,0,OUT_OF_ORDER
322,1,125,OUT_OF_ORDER
325,1,0,OUT_OF_ORDER
324,1,126,OUT_OF_ORDER
328,1,0,OUT_OF_ORDER
327,1,1,OUT_OF_ORDER
329,0,0,TIMEOUT
330,0,0,TIMEOUT
329,1,171,OUT_OF_ORDER
331,1,45,OK
333,1,45,OUT_OF_ORDER
334,0,0,TIMEOUT
335,0,0,TIMEOUT
332,1,213,OUT_OF_ORDER
335,1,87,OUT_OF_ORDER
336,1,87,OK
337,1,87,OK
338,1,87,OK
334,1,213,OUT_OF_ORDER
341,1,87,OUT_OF_ORDER
342,0,0,TIMEOUT
339,1,125,OUT_OF_ORDER
342,1,0,OUT_OF_ORDER
344,1,126,OUT_OF_ORDER
343,1,126,OUT_OF_ORDER
346,1,0,OUT_OF_ORDER
347,1,125,OK
345,1,252,OUT_OF_ORDER
349,1,126,OUT_OF_ORDER
348,1,126,OUT_OF_ORDER
351,1,126,OUT_OF_ORDER
352,1,125,OK
354,1,0,OUT_OF_ORDER
350,1,126,OUT_OF_ORDER
356,1,126,OUT_OF_ORDER
355,1,127,OUT_OF_ORDER
358,1,0,OUT_OF_ORDER
357,1,126,OUT_OF_ORDER
359,1,127,OK
361,1,126,OUT_OF_ORDER
360,1,127,OUT_OF_ORDER
363,1,0,OUT_OF_ORDER
362,1,126,OUT_OF_ORDER
367,1,0,OUT_OF_ORDER
365,1,125,OUT_OF_ORDER
368,1,0,OK
369,1,127,OK
370,0,0,TIMEOUT
371,0,0,TIMEOUT
372,0,0,TIMEOUT
373,0,0,TIMEOUT
374,0,0,TIMEOUT
375,0,0,TIMEOUT
372,1,126,OUT_OF_ORDER
375,1,126,OUT_OF_ORDER
374,1,126,OUT_OF_ORDER
376,1,126,OK
378,1,1,OUT_OF_ORDER
379,1,126,OK
377,1,128,OUT_OF_ORDER
380,1,127,OK
382,1,1,OUT_OF_ORDER
384,1,126,OUT_OF_ORDER
385,1,0,OK
387,1,1,OUT_OF_ORDER
381,1,129,OUT_OF_ORDER
388,1,125,OK
389,1,0,OK
390,1,0,OK
391,1,1,OK
393,1,126,OUT_OF_ORDER
392,1,126,OUT_OF_ORDER
394,1,0,OK
396,1,0,OUT_OF_ORDER
395,1,126,OUT_OF_ORDER
398,1,0,OUT_OF_ORDER
397,1,0,OUT_OF_ORDER
399,1,2,OK
401,1,125,OUT_OF_ORDER
400,1,127,OUT_OF_ORDER
402,1,1,OK
404,1,0,OUT_OF_ORDER
403,1,126,OUT_OF_ORDER
405,1,125,OK
407,1,0,OUT_OF_ORDER
406,1,1,OUT_OF_ORDER
409,1,126,OUT_OF_ORDER
408,1,126,OUT_OF_ORDER
411,1,0,OUT_OF_ORDER
412,1,0,OK
414,1,0,OUT_OF_ORDER
410,1,127,OUT_OF_ORDER
416,1,1,OUT_OF_ORDER
417,0,0,TIMEOUT
417,1,22,OUT_OF_ORDER
415,1,148,OUT_OF_ORDER
418,1,22,OK
419,0,0,TIMEOUT
420,0,0,TIMEOUT
419,1,189,OUT_OF_ORDER
421,0,0,TIMEOUT
422,0,0,TIMEOUT
423,0,0,TIMEOUT
425,1,0,OUT_OF_ORDER
424,1,126,OUT_OF_ORDER
426,1,126,OK
428,1,126,OUT_OF_ORDER
427,1,127,OUT_OF_ORDER
429,1,0,OK
431,1,125,OUT_OF_ORDER
433,1,0,OUT_OF_ORDER
434,1,0,OK
435,1,0,OK
430,1,251,OUT_OF_ORDER
436,1,126,OK
438,1,0,OUT_OF_ORDER
437,1,2,OUT_OF_ORDER
439,1,126,OK
442,1,0,OUT_OF_ORDER
441,1,1,OUT_OF_ORDER
444,1,0,OUT_OF_ORDER
445,1,0,OK
443,1,126,OUT_OF_ORDER
448,1,0,OUT_OF_ORDER
449,0,0,TIMEOUT
450,0,0,TIMEOUT
451,0,0,TIMEOUT
449,1,62,OUT_OF_ORDER
447,1,189,OUT_OF_ORDER
452,1,62,OK
453,0,0,TIMEOUT
454,0,0,TIMEOUT
455,0,0,TIMEOUT
451,1,250,OUT_OF_ORDER
455,1,125,OUT_OF_ORDER
456,1,125,OK
453,1,126,OUT_OF_ORDER
459,1,125,OUT_OF_ORDER
457,1,125,OUT_OF_ORDER
460,1,0,OK
462,1,0,OUT_OF_ORDER
461,1,127,OUT_OF_ORDER
464,1,0,OUT_OF_ORDER
463,1,126,OUT_OF_ORDER
467,1,0,OUT_OF_ORDER
468,1,0,OK
465,1,126,OUT_OF_ORDER
470,1,0,OUT_OF_ORDER
469,1,1,OUT_OF_ORDER
471,1,127,OK
474,1,0,OUT_OF_ORDER
475,1,0,OK
476,0,0,TIMEOUT
476,1,21,OUT_OF_ORDER
473,1,147,OUT_OF_ORDER
477,1,21,OK
478,0,0,TIMEOUT
479,0,0,TIMEOUT
480,0,0,TIMEOUT
478,1,208,OUT_OF_ORDER
481,1,81,OK
480,1,81,OUT_OF_ORDER
482,1,81,OK
484,1,80,OUT_OF_ORDER
485,1,80,OK
486,1,80,OK
483,1,207,OUT_OF_ORDER
488,1,80,OUT_OF_ORDER
490,1,80,OUT_OF_ORDER
487,1,205,OUT_OF_ORDER
491,0,0,TIMEOUT
492,0,0,TIMEOUT
491,1,125,OUT_OF_ORDER
494,1,126,OUT_OF_ORDER
493,1,126,OUT_OF_ORDER
496,1,0,OUT_OF_ORDER
495,1,127,OUT_OF_ORDER
498,1,126,OUT_OF_ORDER
497,1,126,OUT_OF_ORDER
501,1,1,OUT_OF_ORDER
503,1,125,OUT_OF_ORDER
499,1,251,OUT_OF_ORDER
505,1,1,OUT_OF_ORDER
504,1,1,OUT_OF_ORDER
507,1,127,OUT_OF_ORDER
508,1,0,OK
506,1,128,OUT_OF_ORDER
510,1,1,OUT_OF_ORDER
512,1,0,OUT_OF_ORDER
511,1,125,OUT_OF_ORDER
513,1,1,OK
515,1,0,OUT_OF_ORDER
516,1,0,OK
517,1,0,OK
518,0,0,TIMEOUT
519,0,0,TIMEOUT
520,0,0,TIMEOUT
521,0,0,TIMEOUT
522,0,0,TIMEOUT
520,1,0,OUT_OF_ORDER
514,1,380,OUT_OF_ORDER
522,1,127,OUT_OF_ORDER
521,1,127,OUT_OF_ORDER
524,1,0,OUT_OF_ORDER
523,1,253,OUT_OF_ORDER
525,1,127,OK
526,1,127,OK
527,1,128,OK
530,1,126,OUT_OF_ORDER
529,1,127,OUT_OF_ORDER
532,1,1,OUT_OF_ORDER
531,1,127,OUT_OF_ORDER
533,1,127,OK
535,1,126,OUT_OF_ORDER
534,1,126,OUT_OF_ORDER
537,1,1,OUT_OF_ORDER
539,1,127,OUT_OF_ORDER
540,1,0,OK
541,1,0,OK
536,1,128,OUT_OF_ORDER
542,1,125,OK
544,1,0,OUT_OF_ORDER
543,1,1,OUT_OF_ORDER
546,1,0,OUT_OF_ORDER
548,1,0,OUT_OF_ORDER
549,1,0,OK
545,1,126,OUT_OF_ORDER
550,0,0,TIMEOUT
551,1,21,OK
552,1,21,OK
553,1,21,OK
554,1,21,OK
555,0,0,TIMEOUT
555,1,43,OUT_OF_ORDER
550,1,295,OUT_OF_ORDER
557,1,43,OUT_OF_ORDER
558,1,43,OK
559,1,44,OK
556,1,169,OUT_OF_ORDER
562,1,43,OUT_OF_ORDER
563,0,0,TIMEOUT
564,0,0,TIMEOUT
563,1,86,OUT_OF_ORDER
560,1,211,OUT_OF_ORDER
565,1,86,OK
564,1,86,OUT_OF_ORDER
567,1,85,OUT_OF_ORDER
566,1,210,OUT_OF_ORDER
569,1,85,OUT_OF_ORDER
570,0,0,TIMEOUT
571,1,0,OK
568,1,126,OUT_OF_ORDER
572,1,127,OK
574,1,126,OUT_OF_ORDER
576,1,0,OUT_OF_ORDER
575,1,128,OUT_OF_ORDER
577,1,126,OK
580,1,1,OUT_OF_ORDER
581,1,0,OK
582,1,125,OK
583,1,0,OK
584,1,0,OK
579,1,253,OUT_OF_ORDER
587,1,0,OUT_OF_ORDER
588,1,0,OK
589,1,0,OK
585,1,127,OUT_OF_ORDER
590,0,0,TIMEOUT
590,1,147,OUT_OF_ORDER
591,1,21,OK
594,1,21,OUT_OF_ORDER
595,0,0,TIMEOUT
596,0,0,TIMEOUT
593,1,190,OUT_OF_ORDER
598,1,65,OUT_OF_ORDER
599,0,0,TIMEOUT
600,0,0,TIMEOUT
599,1,0,OUT_OF_ORDER
596,1,125,OUT_OF_ORDER
601,1,125,OK
600,1,126,OUT_OF_ORDER
603,1,0,OUT_OF_ORDER
602,1,126,OUT_OF_ORDER
605,1,126,OUT_OF_ORDER
604,1,127,OUT_OF_ORDER
607,1,0,OUT_OF_ORDER
606,1,127,OUT_OF_ORDER
611,1,0,OUT_OF_ORDER
610,1,126,OUT_OF_ORDER
612,1,1,OK
614,1,0,OUT_OF_ORDER
615,1,0,OK
613,1,125,OUT_OF_ORDER
616,1,1,OK
617,0,0,TIMEOUT
618,0,0,TIMEOUT
619,1,42,OK
620,1,42,OK
621,1,41,OK
618,1,167,OUT_OF_ORDER
